Address,Postcode, Price 
"3 Marian Mews, Enfield",EN2 8GD,£476,685.00
"1 Hornbeam Spring, Knebworth",SG3 6AX,£436,135.00
"2 Hope Street, Adlington",PR6 9PS,£122,757.00
"34 Belvedere Gardens, West Molesey",KT8 2TD,£535,050.00
"2 Salem Chapel, Castle Place, Abergele",LL22 7AX,£485,400.00
"27 Silvester Way, Church Crookham",GU52 0RG,£271,122.00
"232 Ashbourne Road, Mitcham",CR4 2DR,£6,674,325.00
"51 Kennerley Road, Yardley",B25 8LS,£6,514,642.00
"Broomin Green Farm, Maxwell Road, Stevenage",SG1 2EP,£602,815.00
"16 Bussex Square, Westonzoyland",TA7 0HD,£232,617.00
"2 Paradise, Luddendenfoot",HX2 6XF,£172,158.00
"73 The Crescent East, Sunnyside",S66 3QY,£867,770.00
"32 Milltown Way, Leek",ST13 5SZ,£231,413.00
"2 Burton Drive, Poynton",SK12 1AA,£171,853.00
"4 William House, Princes Crescent, Margate",CT9 1JY,£866,575.00
"2 Post Office Flats, High Street, Hawkhurst",TN18 4AA,£552,206.00
"7 Little Chittock, Basildon",SS14 1RN,£628,247.00
"22 Dudley Road, Cambridge",CB5 8PJ,£132,540.00
"Scorex House East, 3 Bolton Road, Bradford",BD1 4AN,£727,161.00
"8 Siskin Grove, Waterlooville",PO7 8HW,£513,783.00
"6 Parkin Road, Scunthorpe",DN17 2QT,£463,233.00
"118 St Bernards Avenue, Louth",LN11 8AT,£258,855.00
"Rose Cottage, Ellingham",NE67 5ET,£662,157.00
"259 Eastern Avenue, Ilford",IG4 5AT,£884,027.00
"15 Ashdown Crescent, New Romney",TN28 8EU,£317,220.00
"Pathways, The Wells, North Anston",S25 4ED,£2,841.00
"128 Thingwall Road, Wirral",CH61 3UQ,£433,814.00
"6 Coronation Place, Shebbear",EX21 5SQ,£366,583.00
"8 Devonia House, The Maltings, Weston-Super-Mare",BS22 6JB,£216,034.00
"6 The Meadows, Kilgetty",SA68 0SB,£2,655.00
"26 Acer Leigh, Liverpool",L17 5BN,£4,258,572.00
"9 Stanier Drive, Hartshorne",DE11 7FE,£110,578.00
"12 Park Road, Granborough",MK18 3NS,£422,440.00
"Top Floor Flat, 103 Fawcett Road, Southsea",PO4 0DF,£474,221.00
"93 Blackhouse Road, Huddersfield",HD2 1AP,£706,182.00
"1 Heathcock Court, London",WC2R 0NT,£11,037,336.00
"1 Purlieu Way, Theydon Bois",CM16 7ED,£805,005.00
"22 Charlton Gardens, Coulsdon",CR5 1AS,£755,445.00
"Flat 60, The Gate House, 354 Sea Front, Hayling Island",PO11 0AT,£541,167.00
"24 Minyffordd, Ystalyfera",SA9 2ES,£235,688.00
"The Olde Shoppee, Main Street, Kirkby Malzeard",HG4 3SD,£21,311.00
"29 Honeysuckle Close, Winchester",SO22 4QQ,£861,751.00
"10 Rutherglen Walk, Eaglescliffe",TS16 9HE,£384,053.00
"95B High Street, Ventnor",PO38 1LY,£235,403.00
"15 Cannon Street, Lower Brynamman",SA18 1TW,£20,125.00
"Tyn Refail, Penysarn",LL69 9YD,£343,326.00
"55 Hutton Road, Cranswick",YO25 9PN,£384,767.00
"297 London Road, Greenhithe",DA9 9LA,£78,488.00
"2 Myrtle Grove, Barkisland",HX4 0EG,£136,531.00
"14 Uplands Drive, Werrington",ST9 0LG,£550,732.00
